year,event_count,mag_mean,mag_max,depth_mean
2000,69207,2.0544244079356133,8.0,22.24788712124496
2001,70360,2.0871958499147243,8.4,23.338837180216032
2002,89795,1.9964945709672033,7.9,23.229011849212092
2003,97428,1.9540204048117582,8.16,26.01738169725336
2004,112081,1.9065309909797379,9.1,26.50402861323507
2005,101185,2.0538738943519297,8.6,25.811525048179078
2006,99395,2.062623270788269,8.3,28.04606362493083
2007,94077,2.07584521190089,8.4,28.9546103298362
2008,121927,1.8411384680997644,7.9,25.085490490211356
2009,86608,1.6544956585996675,8.1,20.404741224829113
2010,122910,1.76588585143601,8.8,17.888384427629973
2011,103631,1.7577745076280262,9.1,20.672104331715413
2012,101783,1.638406413644715,8.6,21.590963883949186
2013,109335,1.6169524854804043,8.3,23.08903788722733
2014,129783,1.7055350084371605,8.2,28.164631515683872
2015,119655,1.7366851364339142,8.3,27.899830023818478
2016,118019,1.71858421101687,7.9,29.48185031223786
2017,127180,1.6212488598836294,8.2,26.1452036475861
2018,179994,1.832183739457982,8.2,21.768046318210605
2019,176470,1.5850868702895677,8.0,20.721715117645633
2020,189020,1.6063198868187019,7.8,20.421874873973856
2021,154517,1.7707025163230776,8.2,24.813757613027857
2022,140686,1.7649258068499358,7.6,28.47201746292664
2023,139486,1.7641903379196608,7.8,27.924694208065272
2024,137979,1.748290409880879,7.5,26.256988112164724
